更新日期,更新時間,地區,個案數目,死亡個案
11/02/2020,23:59,惠州,54,0
11/02/2020,23:59,汕尾,5,0
11/02/2020,23:59,東莞,67,0
11/02/2020,23:59,中山,62,0
11/02/2020,23:59,陽江,13,0
11/02/2020,23:59,湛江,21,0
11/02/2020,23:59,肇慶,16,1
11/02/2020,23:59,清遠,12,0
11/02/2020,23:59,揭陽,8,0
11/02/2020,23:59,河源,3,0
11/02/2020,23:59,江門,21,0
11/02/2020,23:59,茂名,13,0
11/02/2020,23:59,潮州,5,0
12/02/2020,23:59,廣州,327,0
12/02/2020,23:59,深圳,391,0
12/02/2020,23:59,珠海,89,0
12/02/2020,23:59,汕頭,25,0
12/02/2020,23:59,佛山,81,0
12/02/2020,23:59,韶關,8,0
12/02/2020,23:59,梅州,13,0
12/02/2020,23:59,惠州,55,0
12/02/2020,23:59,汕尾,5,0
12/02/2020,23:59,東莞,70,1
12/02/2020,23:59,中山,64,0
12/02/2020,23:59,陽江,13,0
12/02/2020,23:59,湛江,21,0
12/02/2020,23:59,肇慶,16,1
12/02/2020,23:59,清遠,12,0
12/02/2020,23:59,揭陽,8,0
12/02/2020,23:59,河源,3,0
12/02/2020,23:59,江門,22,0
12/02/2020,23:59,茂名,13,0
12/02/2020,23:59,潮州,5,0
13/02/2020,23:59,廣州,328,0
13/02/2020,23:59,深圳,400,0
13/02/2020,23:59,珠海,91,0
13/02/2020,23:59,汕頭,25,0
13/02/2020,23:59,佛山,82,0
13/02/2020,23:59,韶關,8,0
13/02/2020,23:59,梅州,14,0
13/02/2020,23:59,惠州,56,0
13/02/2020,23:59,汕尾,5,0
13/02/2020,23:59,東莞,73,1
13/02/2020,23:59,中山,64,0
13/02/2020,23:59,陽江,13,0
13/02/2020,23:59,湛江,22,0
13/02/2020,23:59,肇慶,17,1
13/02/2020,23:59,清遠,12,0
13/02/2020,23:59,揭陽,8,0
13/02/2020,23:59,河源,3,0
13/02/2020,23:59,江門,22,0
13/02/2020,23:59,茂名,13,0
13/02/2020,23:59,潮州,5,0
14/02/2020,23:59,廣州,335,0
14/02/2020,23:59,深圳,406,0
14/02/2020,23:59,珠海,95,0
14/02/2020,23:59,汕頭,25,0
14/02/2020,23:59,佛山,84,0
14/02/2020,23:59,韶關,10,0
14/02/2020,23:59,梅州,15,0
14/02/2020,23:59,惠州,58,0
14/02/2020,23:59,汕尾,5,0
14/02/2020,23:59,東莞,81,1
14/02/2020,23:59,中山,65,0
14/02/2020,23:59,陽江,13,0
14/02/2020,23:59,湛江,22,0
14/02/2020,23:59,肇慶,17,1
14/02/2020,23:59,清遠,12,0
14/02/2020,23:59,揭陽,8,0
14/02/2020,23:59,河源,3,0
14/02/2020,23:59,江門,22,0
14/02/2020,23:59,茂名,13,0
14/02/2020,23:59,潮州,5,0
15/02/2020,23:59,廣州,338,0
